尾,13
多謝,16
余,3
永姍,3
女士,1
題,7
今時今日,2
維持,3
童心,1
公關,2
image,2
傳說,2
邱生,1
時代,5
廁紙,1
逐,6
格,4
令到,9
澄清,2
姑勿論,1
希望,27
所,10
愜意,1
不論,1
節目,8
哩度,32
生命力,1
發揮,3
空間,1
本地,4
電子,20
越,20
制度,9
推行,1
抄,3
然之後,41
Sandy,1
機會,20
傾,35
Miss,9
Lam,1
聽講,20
堂,8
喊,11
學生,32
傾偈,13
口罩,9
戴,9
殺一警百,1
安靜,2
上堂,10
多嘴,1
左,7
右,3
暈,1
笠,4
上去,18
瘀,1
嬲,5
抌,3
落,48
發脾氣,1
門口,4
過程,9
之中,5
唔忿氣,1
解釋,16
明白,7
激動,2
嗰日,20
帶,56
小息,4
班長,1
上來,15
房,11
乖,10
道歉,4
先生,21
激嬲,1
老師,4
供,3
邊啲,11
細路仔,3
有時,51
控制,9
原諒,1
好轉,1
依然,3
間歇性,1
對待,2
行為,5
衝動,1
全班,4
激,3
隔,5
日子,9
忘記,1
重蹈覆轍,2
曳,6
近排,5
退,5
退學,3
鐘意,7
家長,7
太過,7
管,3
過頭,2
午,1
晚,16
朝頭早,11
早餐,9
午餐,1
嘢食,1
來到,8
唔單止,3
情形,3
關注,1
空氣,3
流通,1
打開,3
窗,2
嘅話,38
風扇,1
課室,2
冷氣機,1
爸爸,4
媽媽,2
投訴,1
告,3
烏蠅,6
飛過,1
騷擾,4
中文,14
默書,6
合格,9
當然,19
鬧,7
溫習,1
默,3
收尾,2
某,11
成功感,1
成績,14
測驗,9
獎勵,3
學期,3
禮物,9
考試,31
獎,3
為咗,14
目標,3
科,52
方法,20
人名,3
表,4
黏,10
貼紙,2
側邊,2
儲,37
五,38
苦樂參半,1
識得,6
平衡,2
喜怒哀樂,1
神聖,1
贊同,1
講法,4
衝破,1
特點,1
challenge,1
go,1
今次,17
除,3
出位,1
赤裸裸,1
排,19
九唔搭八,1
專業,7
拍法,1
猛龍,1
江,4
小龍,1
腰馬合一,1
起腳,2
打交,2
廁所,3
排練,1
一陣,6
停,16
台下,2
五百,2
興奮,1
冇得頂,3
甩皮甩骨,4
身邊,4
是,6
八兩金,4
達明,8
建仁,1
谷,4
德超,2
田,1
啟民,1
力恃,2
突,2
點算,13
監製,4
齊,17
三百五十萬,3
美金,2
三百,4
二百,9
萬,9
港紙,1
禽流感,4
雞販,3
酒樓,2
結業,1
豬肉,1
佬,2
斬,4
叉燒,1
經紀,1
睇樓,1
目露兇光,1
甜筒輝,1
阿輝,1
有錢,15
揸,24
金鏈,1
一生,1
積蓄,1
股票,11
裏便,2
逼,6
重疊,1
加,27
新移民,2
啱啱,40
充滿,1
憧憬,1
槍,1
打劫,1
背景,2
心郁郁,1
好睇,37
提名,2
帶出,1
氣息,1
有趣,7
男性,4
主導,2
轉移,2
男士,1
多多少少,1
另,11
構成,1
陷於,3
困境,3
之下,5
突破,3
救贖,1
靠,8
批,5
輩,2
腳,19
四十,11
吋,1
腳瓜瓤,1
豹皮,1
褲,1
渡過,3
從而,5
獲得,1
掌聲,1
因果,1
分割,1
兩性,1
地位,1
逆轉,2
以及,1
到底,9
話事,1
掌管,1
topic,1
男,8
荒謬,4
處境,2
練,2
遠,34
天,2
英雄,1
衣錦還鄉,1
通常,51
hero,1
無端端,11
柴臺,1
顧,1
強項,2
劇情,8
自圓其說,1
皮帽,1
最尾,3
G-string,2
主要,15
愛來,3
攝,1
Full,6
鎮,1
街,18
街坊,2
捧場,1
即,116
演員,4
係嘢,2
克服,2
推介,1
crew,1
無厘頭,1
洗,26
catering,1
truck,1
供會,1
資源,2
尤其,2
效法,1
新,52
計仔,2
突出,3
lead,1
代入,1
演繹,1
實淨,1
好多時,4
擠眉弄眼,1
誇,2
笑料,2
掹,6
皮帶,1
fek6,1
儘管,1
主題,4
淡,6
滲,1
淡淡,1
無奈,2
低迷,1
主管,1
決心,1
剝,11
衫,18
自己人,2
唔錯,6
攞命,2
頭,36
尊嚴,3
販賣,1
悲,2
包袱,2
重生,1
放低,3
睇法,2
老公,16
硬係,10
日日,10
肯,14
介紹,28
臨時,3
煮飯,1
困局,1
出路,2
相撲,1
少年,1
談談情,1
跳跳舞,1
類,7
人性,1
振奮,3
下下,9
鐵達尼,1
收得,1
腦,4
idea,1
無論,2
票房,1
創作人,1
共勉之,1
推薦,5
因應,2
財政,2
能力,18
決定,11
本,77
字典,33
用途,5
漢英,1
商務,3
啡色,8
查,20
起上來,1
根據,5
字母,1
排列,1
快,83
正如,1
不足,4
之,8
處,3
深,13
名詞,4
用語,1
考慮,23
新近,2
手頭上,2
漢,11
辭典,19
內容,5
充實,1
比起,10
辭條,1
頗,2
術語,1
上海,2
交通大學,1
出版社,1
出版,8
年期,2
值得,5
託,1
朋友,31
平,61
Year,7
Two,2
二百幾,4
翻譯,11
返去,20
深圳,4
九十幾,3
相差,4
書局,3
逛,3
工具書,3
昂貴,2
幾乎,5
以上,2
甚至,3
超過,1
關於,11
佛教,3
專科,3
一千四百,1
冊,6
落來,9
郵費,1
只係,19
四百,3
得閒,21
不妨,5
Comprehensive,1
Grammar,1
四十幾,3
course,5
Syntax,1
參考,3
千幾,2
書名,1
Mike,1
grammar,4
English,5
科目,2
參考書,1
慶幸,1
慳,9
幫助,3
盡量,8
利用,3
書城,1
之類,6
書籍,1
教科書,1
聽電話,2
一零四,1
唔該,6
科技,5
發達,7
光碟,9
電腦,30
上年,12
遠東,2
定係,15
查索,2
邊樣,3
途徑,1
磁碟,1
薄,2
隨身,1
攜帶,5
發聲,1
功能,3
發音,4
標準,2
人仕,1
native,1
speaker,1
讀音,1
非常,5
快譯通,2
牌子,14
准,4
試場,1
快速,2
深入,2
例子,5
作用,2
認識,2
篇,3
文章,5
正式,2
文體,2
抑或,8
casual,2
日常,1
應用,2
似乎,7
有關,7
資料,9
始終,16
局限,1
經過,8
思考,1
譯者,1
程序,2
同意,1
工具,1
娓娓道來,1
職業女性,1
機構,2
點點滴滴,1
先前,1
關口,1
晒冷,1
鋪,2
執包袱,1
最後,25
經歷,5
睇真Ｄ,4
卒之,3
當時,9
回,2
信心,42
大姐明,2
team,5
staff,2
心願,4
稍為,2
淚眼盈眶,1
反攻,1
些少,7
曙光,1
處於,1
狀態,1
平穩,1
哈,2
明天,1
心境,1
遐想,1
總算,1
交代,4
十五,12
二十,14
嘥氣,2
收視,1
除非,6
慘,45
低處,1
一億,1
不濟,1
每次,4
轉頭,5
上層,1
亂,14
規律,3
美學,1
掌握,3
第二個,1
相信,13
以來,5
蕎英,3
沛權,1
李生,4
當年,1
顧問,1
受寵若驚,1
趕走,1
啝,8
心裏,1
戚戚然,1
戥,3
老朋友,1
上司,1
危險,3
製作人,2
範,2
星期一,5
甩,11
waiting,1
小心,10
步步為營,1
令,6
停步,1
原地踏步,1
揞,1
眼,9
閂,5
門,10
鎖,4
閘,1
麻雀,5
緊,3
每樣,1
局外人,1
殺着,1
任,6
一招,1
未必,27
出街,7
殘,4
招,4
新上海灘,2
新新上海灘,1
上海風雲,1
秋官,1
嗰陣時候,1
數,16
包裝,1
力,6
圍,7
次次,6
噓,2
吔,5
撳,17
阿二,1
慣,10
哲學,1
直情,5
武俠,1
對拳,1
花招,1
拳,2
痛,10
為止,1
疏,1
郁,9
機動,1
打游擊,3
聽日,15
打仗,2
有排,3
無敵,3
好事,2
絕對,6
階段,3
習慣,4
耐力,2
鬥,3
德華,1
artist,3
信念,1
搞笑,28
自我,2
安慰,1
釋然,1
六百,2
藝員,1
折墮,1
調轉,5
志偉,1
game,7
show,4
掌門人,1
流口水,2
乜水,1
答,13
條件,1
自愧不如,1
刻,1
水準,1
建樹,1
upmanship,1
夢想,3
做到,1
so,1
far,1
狂,1
劇集,1
人際關係,2
窮,3
有型,5
步,8
三國誌,1
將軍,1
好打,1
刀,3
劈,1
手下,3
領導人,1
,1
唓,18
人士,8
發生,8
女人,10
缺點,6
提醒,3
錫,7
叻,21
以為,41
男仔,14
賺錢,3
表露,1
𢱕,1
少女,1
今朝,5
參觀,4
貨櫃,10
碼頭,11
幾點鐘,2
出發,3
約,5
九點半,8
荔景,7
葵涌,2
近,20
分鐘,25
九點十,1
浩賢,3
機電工程處,1
Peter,1
肥豪,4
認得,4
肥,32
高大,1
大隻,7
大件件,1
Gary,5
四眼,1
白白淨淨,2
哋,11
港大,1
扮,10
連埋,1
唏,1
缺少,1
南哥,1
走入,1
領隊,2
幻燈片,2
video,6
躉,4
office,8
迾,1
MTL,5
現代貨商碼頭有限公司,1
HIT,1
Sealand,1
一九,1
事關,3
播,11
MMC,1
Mechanical,1
Marine,1
Chemical,1
division,4
technical,6
Safety,12
Service,1
Group,14
Specialist,4
SSG,3
咿,1
蛇蛇豬,2
安全,9
顧名思義,1
架構,4
輪,4
廢話,2
control,4
centre,4
鳥瞰,1
頂樓,1
trip,4
貨,12
好心,2
猛咁,5
係噉,23
讕,5
厭,2
十點鐘,1
十二點,4
完結,1
生性,1
獨立,2
Accident,1
investigation,1
友仔,4
吹水唔抹嘴,2
離譜,4
聽嘢,1
overall,1
直至到,1
十二點鐘,2
電話,73
叫住,1
幾可,3
塞車,1
和記,5
三百九十,2
一六八,3
飛線,3
秘書台,6
五百五十八,5
繁忙,2
非,1
四百九十,1
call機,9
甘,3
台費,2
服務,16
五百五,1
二百一十六,1
One2Free,1
簽,3
幾耐,11
死約,2
生約,2
平時,24
放假,17
手提,6
廠,18
只,15
一百六十八,1
網絡,2
GSM,4
Spec,1
signal,3
modellation,1
PCS,1
personal,1
single,1
System,2
下次,5
興趣,18
話時話,15
友,5
present,1
network,2
熟,14
唔怪得,1
職業,1
健康,5
問答,1
組,2
分分鐘,4
代表,5
出賽,1
第時,10
符符碌碌,2
Gordon,4
叔叔,1
GT,2
Graduate,2
Trainee,2
見習,1
工程師,1
就快,2
八月,22
